file	obj	time
32_8_92	27	600.236
32_8_93	28	600.046
32_8_94	29	600.481
32_8_95	28	600.063
32_8_96	28	600.088
32_8_97	25	600.112
32_8_98	27	600.059
32_8_99	22	600.104
48_12_0	46	600.045
48_12_1	41	600.38
48_12_10	35	600.507
48_12_11	41	600.089
48_12_12	36	600.198
48_12_13	37	600.098
48_12_14	37	600.194
48_12_15	38	600.016
48_12_16	38	600.356
48_12_17	38	600.411
48_12_18	41	600.059
48_12_19	41	600.092
48_12_2	42	600.094
48_12_20	41	600.154
48_12_21	37	600.089
48_12_22	44	600.071
48_12_23	45	600.491
48_12_24	37	602.208
48_12_25	40	600.503
48_12_26	37	600.034
48_12_27	38	600.195
48_12_28	40	600.089
48_12_29	39	600.096
48_12_3	39	600.122
48_12_30	39	600.274
48_12_31	37	600.828
48_12_32	38	600.309
48_12_33	38	600.066
48_12_34	39	600.106
48_12_35	39	600.115
48_12_36	40	600.035
48_12_37	37	600.06
48_12_38	41	600.059
48_12_39	38	600.01
48_12_4	38	601.288
48_12_40	38	600.022
48_12_41	41	600.063
48_12_42	39	600.008
48_12_43	38	600.024
48_12_44	41	600.036
48_12_45	45	600.041
48_12_46	38	600.007
48_12_47	31	600.068
48_12_48	39	600.172
48_12_49	43	600.121
48_12_5	39	600.1
48_12_50	39	600.104
48_12_51	34	600.077
48_12_52	38	601.195
48_12_53	39	600.096
48_12_54	38	600.14
48_12_55	38	600.116
48_12_56	39	600.09
48_12_57	41	600.135
48_12_58	39	600.19
48_12_59	40	600.243
48_12_6	32	600.099
48_12_60	36	600.133
48_12_61	43	600.072
48_12_62	39	600.076
48_12_63	33	600.019
48_12_64	30	600.081
48_12_65	36	600.001
48_12_66	37	600.216
48_12_67	41	600.08
48_12_68	40	600.212
48_12_69	39	600.222
48_12_7	40	600.229
48_12_70	43	600.094
48_12_71	40	600.085
48_12_72	37	600.222
48_12_73	42	600.22
48_12_74	37	600.13
48_12_75	35	600.035
48_12_76	37	600.072
48_12_77	33	600.218
48_12_78	39	600.166
48_12_79	40	600.243
48_12_8	38	600.106
48_12_80	37	600.071
48_12_81	42	600.098
48_12_82	38	600.003
48_12_83	37	600.281
