sigma,n,len_B,k,Rand-Sample,Approx,LS2,LS4,ILP,Adapt-Cmsa
16,32,10,19,21,21,21,21,21,21
2,16,10,8,16,16,16,16,16,16
8,16,10,9,15,15,15,15,15,15
24,48,20,28,40,40,39,38,40,40
32,64,28,46,49,48,49,49,49,49
8,16,4,8,11,11,11,11,11,11
6,48,13,31,41,40,41,40,41,41
4,32,23,11,26,25,26,26,27,27
4,32,8,24,29,27,29,29,29,29
40,80,51,36,65,65,65,65,65,64
6,48,38,16,38,37,37,38,39,39
4,16,3,8,11,11,11,11,11,11
12,48,31,20,41,41,41,41,41,41
4,16,8,7,14,14,14,14,14,14
40,80,23,53,60,59,60,60,60,60
32,64,41,26,53,54,54,54,54,53
24,48,10,37,36,36,36,36,36,36
8,16,6,10,15,15,15,15,15,15
6,48,24,29,44,42,43,43,44,44
40,80,53,34,62,62,63,63,63,63
4,16,6,8,12,12,12,12,12,12
10,80,39,40,63,63,63,63,63,63
2,16,8,8,14,14,14,14,14,14
8,16,7,8,12,12,12,12,12,12
4,32,20,13,29,29,29,29,29,29
8,64,27,42,55,57,58,56,58,58
16,32,14,20,28,27,28,28,28,28
10,80,36,55,69,70,69,69,71,71
6,48,12,39,45,44,44,44,45,45
2,16,6,9,14,14,14,14,14,14
4,32,16,26,32,32,32,32,32,32
4,32,15,10,23,23,23,23,23,23
4,16,4,10,13,13,13,13,13,13
4,16,10,8,12,12,12,12,12,12
6,48,26,14,36,36,36,36,36,36
20,80,25,61,72,73,73,73,73,73
16,32,10,21,25,25,25,25,25,25
4,16,10,8,13,13,13,13,13,13
10,80,37,52,71,74,74,72,75,74
10,80,49,24,57,59,59,58,59,59
6,48,23,24,41,41,41,41,41,41
20,80,35,42,63,63,63,63,63,63
4,16,10,8,15,15,15,14,15,15
12,48,18,28,38,38,38,38,38,38
10,80,44,32,58,58,57,58,59,59
24,48,19,30,37,37,37,37,37,37
10,80,29,53,71,71,71,71,71,71
4,16,8,11,14,14,14,14,14,14
4,16,6,11,15,15,15,15,15,15
6,48,21,29,43,44,44,44,44,44
2,16,5,4,9,9,9,9,9,9
8,64,34,26,50,54,53,53,54,54
6,48,22,32,43,43,42,43,43,43
20,80,40,38,62,64,64,64,65,65
32,64,32,28,44,44,44,44,44,44
12,48,16,32,40,40,40,40,40,40
4,32,13,16,25,25,25,25,25,25
32,64,20,44,52,51,51,51,52,52
8,32,14,19,28,28,28,28,28,28
8,64,28,36,56,58,57,55,58,58
4,32,9,19,28,28,28,28,28,28
20,80,22,64,72,73,73,73,73,73
20,80,50,36,65,66,66,65,66,66
8,16,3,14,15,15,15,15,15,15
2,16,9,11,16,16,16,16,16,16
10,80,25,58,68,70,70,69,70,70
10,80,21,59,68,69,67,68,69,69
32,64,27,41,52,51,52,53,52,52
24,48,29,16,35,35,35,35,35,35
8,16,4,10,11,11,11,11,11,11
8,16,8,6,13,13,13,13,13,13
8,32,9,18,24,24,23,23,24,24
12,48,23,22,40,40,40,40,40,40
8,64,46,22,50,51,52,52,52,52
16,64,36,27,46,46,47,45,47,47
2,16,12,7,16,16,15,15,16,16
12,48,21,29,40,40,41,41,41,41
16,32,23,9,23,23,23,23,23,23
8,16,8,12,15,15,15,14,15,15
2,16,3,11,13,13,13,13,13,13
20,80,31,44,58,59,59,59,59,59
40,80,52,30,56,56,57,57,57,56
4,16,10,7,13,13,13,13,13,13
20,80,49,21,55,55,55,55,55,55
10,80,60,25,66,69,70,67,72,72
40,80,60,15,54,54,54,54,54,53
8,16,9,7,13,13,13,13,13,13
16,32,14,14,24,24,24,22,24,24
4,32,19,11,25,25,25,24,25,25
8,32,20,13,27,26,27,27,27,27
6,48,26,25,42,42,42,41,43,43
6,48,14,40,47,47,47,47,47,47
4,32,7,19,26,26,26,26,26,26
4,32,9,22,27,27,27,26,27,27
4,16,7,8,12,12,12,12,12,12
32,64,26,36,52,51,51,51,52,52
24,48,25,23,33,33,33,32,33,33
8,16,10,5,10,10,10,10,10,10
32,64,23,44,56,57,57,57,57,57
8,64,34,34,55,57,56,56,57,57
10,80,44,40,67,70,70,69,71,71
16,32,11,22,27,27,27,26,27,27
12,48,27,17,36,36,36,36,36,36
6,48,23,22,39,40,39,39,40,40
8,64,28,30,52,54,53,53,54,54
4,16,9,14,15,15,15,15,15,15
2,16,4,10,14,14,14,14,14,14
16,32,13,21,29,29,29,28,29,29
40,80,22,59,62,61,62,62,62,62
2,16,5,11,16,16,16,16,16,16
24,48,19,26,32,32,31,31,32,32
6,48,22,28,42,42,43,42,43,43
16,32,20,10,22,22,22,22,22,22
16,64,15,46,52,52,52,52,52,52
40,80,45,35,59,59,59,59,59,59
8,64,21,42,54,55,55,55,55,55
32,64,39,22,47,47,47,47,47,47
8,64,39,25,51,51,52,52,52,52
20,80,46,32,62,62,63,62,63,63
16,64,25,38,52,50,52,51,52,52
16,64,28,43,56,57,57,56,57,57
10,80,42,45,70,72,73,71,73,73
2,16,8,7,15,15,15,15,15,15
40,80,51,21,56,56,55,53,56,56
40,80,44,43,63,61,61,60,63,63
24,48,12,34,36,36,36,36,36,36
16,32,18,17,27,27,27,26,27,27
2,16,9,9,15,15,15,15,15,15
12,48,27,27,41,41,41,41,41,41
20,80,34,43,59,60,60,58,60,60
8,64,31,39,58,57,57,58,59,59
12,48,24,21,38,38,38,38,38,37
10,80,36,37,61,63,62,62,63,63
32,64,26,39,51,51,51,51,51,51
6,48,17,28,41,41,42,41,42,42
8,16,5,9,13,13,13,13,13,13
8,64,24,36,51,52,51,52,52,52
6,48,27,24,42,43,42,40,43,43
8,32,12,20,28,28,28,28,28,28
8,64,20,49,58,58,56,56,58,58
8,64,36,34,56,58,59,58,59,59
